Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D6.3mm_P2.50mm,1,CP_Radial_D6.3mm_P2.50mm,
C2,C_Disc_D6.0mm_W2.5mm_P5.00mm,1,C_Disc_D6.0mm_W2.5mm_P5.00mm,
D1,D_DO-41_SOD81_P10.16mm_Horizontal,1,D_DO-41_SOD81_P10.16mm_Horizontal,
D2,D_SMA,1,D_SMA,
D3_2,LED_D5.0mm,1,LED_D5.0mm,
D7,0603,1,LED,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,
Q1/T1,TO-92,1,TO-92,
Q2/T2,TO-220-3_Vertical,1,TO-220-3_Vertical,
Q3/T3,SOT-323_SC-70,1,SOT-323_SC-70,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
R2,Potentiometer_ACP_CA9-V10_Vertical,1,Potentiometer_ACP_CA9-V10_Vertical,
R6,0603,1,67R,
U1,SOIC-8_5.3x5.3mm_P1.27mm,1,SOIC-8_5.3x5.3mm_P1.27mm,
U2,SOIC-16_3.9x9.9mm_P1.27mm,1,SOIC-16_3.9x9.9mm_P1.27mm,
U4,QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm,1,QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm,
U5,LQFP-64-1EP_10x10mm_P0.5mm_EP5x5mm,1,LQFP-64-1EP_10x10mm_P0.5mm_EP5x5mm,
U6,TO-252-2,1,TO-252-2,
U7,SOT-223,1,SOT-223,
U8,TFBGA-64_5x5mm_Layout8x8_P0.5mm,1,TFBGA-64_5x5mm_Layout8x8_P0.5mm,
U9_2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
U9,ESP32-WROOM-32E,1,ESP32-WROOM-32E,
