Designator,Mid X,Mid Y,Rotation,Layer
C1,40.9,-19.45,0.0,top
C2,52.65,-19.45,0.0,top
D1,69.25,-18.95,180.0,top
D2,69.25,-22.95,180.0,top
D3_2,84.245,-21.45,0.0,top
D7,148.6125,-23.35,0.0,top
J1,64.75,-4.0,180.0,bottom
Q1/T1,93.75,-12.725,0.0,top
Q2/T2,96.25,-23.4,0.0,top
Q3/T3,109.75,-23.5,0.0,top
R1,7.75,-21.95,0.0,top
R2,25.245,-17.2,90.0,top
R6,152.15,-23.35,180.0,top
U1,69.25,-23.0,270.0,bottom
U2,76.75,-11.25,0.0,bottom
U4,64.84,-13.66,90.0,bottom
U5,51.25,-8.75,270.0,bottom
U6,38.6775,-8.16,90.0,bottom
U7,27.0,-5.75,270.0,bottom
U8,29.0,-16.5,0.0,bottom
U9_2,52.75,-23.0,0.0,bottom
U9,9.75,-6.01,0.0,bottom
